City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,82,100,11.5,light rain
79,Muros,ES,42.7762,-9.0603,68.09,77,10,10.11,clear sky
80,Barrow,US,71.2906,-156.7887,44.62,76,100,19.57,overcast clouds
81,Sokolo,ML,14.7328,-6.1219,90.91,43,100,11.5,light rain
82,Prince Rupert,CA,54.3161,-130.3201,56.89,88,100,18.41,light rain
83,Katobu,ID,-4.9408,122.5276,72.72,92,76,3.91,moderate rain
84,Yar-Sale,RU,66.8333,70.8333,56.89,66,77,7.85,broken clouds
85,Butaritari,KI,3.0707,172.7902,82.35,77,7,18.32,clear sky
86,Zaria,NG,11.1113,7.7227,70.84,89,34,6.69,scattered clouds
87,Qaanaaq,GL,77.484,-69.3632,45.55,55,0,3.89,clear sky
88,San Antonio Ilotenango,GT,15.0547,-91.2297,77.11,45,71,9.08,broken clouds
89,Saint-Joseph,RE,-21.3667,55.6167,66.58,78,35,19.04,light rain
90,Akyab,MM,20.15,92.9,81.91,83,100,1.14,overcast clouds
91,Atuona,PF,-9.8,-139.0333,77.29,70,40,16.26,scattered clouds
92,Provideniya,RU,64.3833,-173.3,42.91,75,100,11.18,overcast clouds
93,Amazar,RU,53.858,120.875,59.92,96,0,1.97,clear sky
94,Karlstad,SE,59.3793,13.5036,63.16,72,20,8.05,few clouds
95,Salta,AR,-24.7859,-65.4117,64.99,34,0,16.11,clear sky
96,Domoni,KM,-12.2569,44.5319,73.24,78,39,5.48,scattered clouds
97,Ribeira Grande,PT,38.5167,-28.7,73.38,90,20,5.1,few clouds
98,Aksu,CN,41.1231,80.2644,80.15,25,6,5.48,clear sky
99,Yellowknife,CA,62.456,-114.3525,72.12,56,40,9.22,scattered clouds
100,Orlik,RU,52.5178,99.825,52.74,97,92,3.11,overcast clouds
101,Lethem,GY,3.3803,-59.7968,83.39,76,90,3.38,overcast clouds
102,Half Moon Bay,US,37.4636,-122.4286,99.88,66,0,20.71,mist
103,Mataura,NZ,-46.1927,168.8643,43.48,97,100,1.68,light rain
104,Diamantino,BR,-14.4086,-56.4461,87.49,22,5,4.07,clear sky
105,Tignere,CM,7.3667,12.65,63.48,96,97,1.81,overcast clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,49.08,77,0,8.01,clear sky
107,Cap Malheureux,MU,-19.9842,57.6142,69.48,64,61,10.0,broken clouds
108,Russell,US,32.3502,-85.1999,93.0,49,0,5.75,clear sky
109,Padang,ID,-0.9492,100.3543,76.44,77,11,3.6,few clouds
110,Jagalur,IN,14.5333,76.35,69.57,91,98,13.27,overcast clouds
111,Talnakh,RU,69.4865,88.3972,56.21,63,96,3.98,overcast clouds
112,San Vito,CR,8.8208,-82.9709,69.1,95,100,1.3,overcast clouds
113,Castro,BR,-24.7911,-50.0119,57.87,98,100,3.42,overcast clouds
114,Goderich,CA,43.7501,-81.7165,73.9,73,3,8.05,clear sky
115,Leningradskiy,RU,69.3833,178.4167,34.16,89,100,21.27,overcast clouds
116,Avera,US,33.194,-82.5271,91.45,46,67,9.53,broken clouds
117,Constitucion,CL,-35.3333,-72.4167,53.2,83,87,10.11,overcast clouds
118,Nikolskoye,RU,59.7035,30.7861,55.29,91,49,3.94,scattered clouds
119,Aswan,EG,24.0934,32.907,90.45,18,4,9.35,clear sky
120,Klaksvik,FO,62.2266,-6.589,50.92,88,100,8.97,overcast clouds
121,Cody,US,44.5263,-109.0565,89.4,25,0,23.02,clear sky
122,Chalons-En-Champagne,FR,48.9539,4.3672,81.63,29,5,8.25,clear sky
123,Andros Town,BS,24.7,-77.7667,89.56,66,86,13.24,overcast clouds
124,Oktyabrskiy,RU,54.4815,53.471,68.54,77,100,1.92,overcast clouds
